,name,Max диаметр сверления (металл),Max диаметр шурупа,Max крутящий момент ,Max размер крепежа,amount_of_reviews,description,Вес нетто,Длина кабеля,Зарядное устройство в комплекте,Количество аккумуляторов в комплекте,Мах диаметр сверления (бетон),Мах диаметр сверления (дерево),Мах диаметр сверления (кирпич),Мощность,Напряжение аккумулятора,Посадочный квадрат,Регулировка глубины завинчивания,Регулировка частоты вращения,Серия аккумулятора,Тип аккумулятора,Тип двигателя,Тип патрона,Упаковка,Частота вращения шпинделя
1156,Аккумуляторная дрель 20В DYLLU DTCDP511,10 мм,,,,,Max крутящий момент : 35 Нм,1.92 кг,,есть,,,10 мм,,,20 В,,,,,Li-Ion,,,,
1157,Аккумуляторная дрель-шуруповерт EDON AD-16А 15424,10 мм,,25 Нм,,3,,1 кг,,есть,,,18 мм,,,16 В,,,,,Li-Ion,,,,
1158,Сетевая дрель-шуруповерт Кратон ESDD-280/16 3 02 01 028,10 мм,,,,1,,1.25 кг,,,,,20 мм,,280 Вт,,,нет,,,,,,,0-750 об/мин
1159,Сетевая дрель-шуруповёрт Кратон ESDD-280/24 3 02 01 029,10 мм,,,,1,,1.33 кг,,,,,20 мм,,280 Вт,,,нет,,,,,,,0-750 об/мин
1160,"Аккумуляторная дрель-шуруповерт Denzel cdl-18-0, li-ion, 18 В 26117",13 мм,,30 Нм,,4,,1.5 кг,,нет,,,25 мм,,,18 В,,,,,Li-Ion,,,,
1161,Дрель-шуруповерт FTL PSR 12V 7031,10 мм,,22 Нм,,7,,,,есть,,,25 мм,,,12 В,,,,,Li-Ion,,,,
1162,Профессиональный бесщеточный винтоверт аккумуляторный KLPRO KLDV18B-80 18 v / 8.0 ah li-ion 13988,,,,,,Тип аккумулятора: Li-Ion,1.5 кг,,есть,,,,,,18 В,,,,,,,,,
1163,"Дрель-шуруповерт WORTEX LX DR 1025 D в кор. 400 Вт, 30 Нм, 2 скор. 1335620",4 мм,10 мм,30 Нм,,,Мощность: 400 Вт,1.4 кг,4 м,,,,16 мм,,,,,,,,,,,,
1164,Дрель WorkMaster ДШ-400-2,,,,,,Мощность: 400 Вт,,,,,,,,,,,,,,,,,,0-350/0-950 об/мин
1165,Аккумуляторная дрель-шуруповерт ЕРМАК ДША-18 646-325,24 мм,,30 Нм,,1,,1.16 кг,,есть,,,10 мм,,,18 В,,,,,Li-Ion,,,,
1166,Сетевая дрель-шуруповерт PATRIOT FS 303 120301303,10 мм,,25 Нм,,9,,1.526 кг,,,,,20 мм,,330 Вт,,,нет,,,,,,,0-350/0-1350 об/мин
1167,Аккумуляторная дрель-шуруповерт TDM ДША-12-ЛК1 Гранит SQ1030-0202,10 мм,,22 Нм,,1,,1.05 кг,,есть,,,20 мм,,,12 В,,,,,Li-Ion,,,,
1168,Аккумуляторная ударная дрель-шуруповерт CROWN CT21075HMX,13 мм,,55 Нм,,10,Поставляется без аккумулятора и зарядного устройства – вы не переплачиваете,1.18 кг,,нет,,16 мм,40 мм,16 мм,,20 В,,,,,,,,,
1169,Шуруповерт KEN BL7220D-20C 115.999.9401,13 мм,,,,,Max крутящий момент : 55 Нм,2.65 кг,,есть,,13 мм,38 мм,13 мм,,20 В,,,,,Li-Ion,,,,
1170,"Дрель-шуруповерт GOODKING 195 предметов, от аккумулятора, 20 В, 30 Нм, 1 АКБ EC-2001195",8 мм,,,,,Max крутящий момент : 30 Нм,3.9 кг,,есть,,,,,,20 В,,,,,Li-Ion,,,,
1171,Дрель WorkMaster ДШ-400,,,,,,Мощность: 400 Вт,,,,,,,,,,,,,,,,,,0-950 об/мин
1172,Электрическая дрель-шуруповерт Креост KE-280-10,10 мм,,22 Нм,,,Мощность: 280 Вт,1.2 кг,1.8 м,,,,20 мм,,,,,нет,,,,,,,0-750 об/мин
1173,Аккумуляторная дрель-шуруповёрт Alteco Standard CD 1210Li 13209,10 мм,,23 Нм,,4,,1.6 кг,,есть,,,20 мм,,,12 В,,,,,Li-Ion,,,,
1174,"Ударная дрель-шуруповерт Tesla TDS450H 450Вт, 13мм, БЗП, 0-480/0-1800об/мин, 75Нм 696687",13 мм,13 мм,75 Нм,,,Мощность: 450 Вт,1.4 кг,,,,10 мм,38 мм,,,,,нет,,,,,,,480 об/мин
1175,Аккумуляторная дрель-шуруповерт WORTEX LX BD 1820 Li 0329076,10 мм,,30 Нм,,3,,2 кг,,есть,,,30 мм,,,18 В,,,,,Li-Ion,,,,
1176,Аккумуляторный винтоверт ударный бесщеточный РМТ 1/4 BBISD14320,,,,,,Max крутящий момент : 320 Нм,1 кг,,есть,,,,,,21 В,,,,,Li-Ion,,,,
1177,"Бесщеточная дрель-шуруповерт STEHER 12 В, 40 Нм, 1 АКБ х 2 Ач, кейс CDB-120-1",8 мм,,35 Нм,,3,,1 кг,,есть,,,25 мм,,,12 В,,,,,Li-Ion,,,,
1178,"Аккумуляторная дрель-шуруповерт СТАВР ДА-10,8/2ЛМ",6 мм,,22 Нм,,50,,1 кг,,есть,,,18 мм,,,10.8 В,,,,,Li-Ion,,,,
1179,Шуруповерт ЭНЕРГОПРОМ Home Master ДА-14/2 Li 00-00014375,,,,,,Max крутящий момент : 35 Нм,1.2 кг,,есть,,,,,,14.4 В,,,,,Li-Ion,,,,
1180,"Аккумуляторный ленточный шуруповерт DEWALT DCF620N, 18 В, 30 Нм, 4400 об/мин, без АКБ и ЗУ DCF620N-XJ",,,30 Нм,,,Поставляется без аккумулятора и зарядного устройства – вы не переплачиваете,1.08 кг,,нет,,,,,,18 В,,,,,Li-Ion,,,,
1181,"Дрель-шуруповерт STEHER 12В, 1 АКБ 2Ач CD-120-1",10 мм,,30 Нм,,5,,1 кг,,есть,,,21 мм,,,12 В,,,,,Li-Ion,,,,
1182,Аккумуляторная дрель-шуруповёрт Alteco CD 1210.1Li X2 33503,10 мм,,23 Нм,,1,,1.6 кг,,есть,,,20 мм,,,12 В,,,,,Li-Ion,,,,
1183,Электрическая дрель-шуруповерт REDVERG Basic SD300 6622811,10 мм,,18 Нм,,21,,1.75 кг,,,,,20 мм,,300 Вт,,,,,,,,,,0-750 об/мин
1184,"Аккумуляторная дрель-шуруповерт Wokin 12 В, 1.5 Ач, 2 скоростной, с аккумулятором и з/у 1352982",,,,,,Max крутящий момент : 28 Нм,0.979 кг,,есть,,,,,,12 В,,,,,Li-Ion,,,,
1185,Электрическая дрель-шуруповерт Калибр Мастер ДЭ- 550/2ШМ 00000047734,10 мм,,34 Нм,,116,,1.35 кг,2 м,,,,25 мм,,550 Вт,,,нет,,,,,,,0-350/0-950 об/мин
1186,Щеточная дрель Villager VLP 5220 без АКБ и ЗУ 058187,,,40 Нм,,,Поставляется без аккумулятора и зарядного устройства — вы не переплачиваете,1.28 кг,,нет,,,,,,18 В,,,,,Li-Ion,,,,
1187,Профессиональный бесщеточный винтоверт аккумуляторный KLPRO KLDV18BH-20 18 v / 2.0 ah 220 Hm 13989,,,220 Нм,,1,,3.9 кг,,есть,,,,,,18 В,,,,,Li-Ion,,,,
1188,"Аккумуляторная дрель-шуруповерт AktiTool cd16g в кейсе, 16 В, 2 li-ion аккум. 1500 mah 101205",,,32 Нм,,1,,1.9 кг,,есть,,,,,,16 В,,,,,Li-Ion,,,,
1189,Аккумуляторная дрель-шуруповерт РОКОТ ДША-14в 691-014,10 мм,,28 Нм,,1,,1.94 кг,,есть,,,22 мм,,,14 В,,,,,Li-Ion,,,,
1190,Электрическая дрель-шуруповерт ПОБЕДА ДШС-475 120301425,10 мм,,19 Нм,,23,,1.4 кг,2 м,,,,20 мм,,475 Вт,,,,,,,,,,0-800 об/мин
1191,"Ударная аккумуляторная дрель-шуруповерт KLECO 18 В / 1,5 Ач 12039 KE18DM-15",,,,,,Max крутящий момент : 30 Нм,1.8 кг,,есть,,,,,,18 В,,,,,Li-Ion,,,,
1192,Аккумуляторная ударная дрель-шуруповёрт Alteco CID 0415 CID 2110.1/21V 27173,10 мм,,,,,Max крутящий момент : 35 Нм,2.4 кг,,есть,,10 мм,25 мм,10 мм,,21 В,,,,,Li-Ion,,,,
1193,Аккумуляторная дрель-шуруповерт ALTECO CD 16-28 77084,10 мм,,,,,Max крутящий момент : 28 Нм,1.2 кг,,есть,,,25 мм,,,16 В,,,,,Li-Ion,,,,
1194,Аккумуляторный шуруповёрт OASIS безударный синхронный AS-12V Eco 4640039486541,10 мм,,,,,Max крутящий момент : 24 Нм,0.87 кг,,есть,,,21 мм,,,12 В,,,,,Li-Ion,,,,
1195,Аккумуляторная дрель-шуруповерт DWT ABSP-12 NF-2 BMC,10 мм,,,,,Max крутящий момент : 24 Нм,1.06 кг,,есть,,,20 мм,,,12 В,,,,,Li-Ion,,,,
1196,"Дрель-шуруповерт аккумуляторная Kolner, 12В, 29 Нм, KCD 12/2LC, БЗП 0,8-10мм, 0-350/1350 об/мин, 2 скорости, подсветка, 2х1.5 Ач, зу, рулетка, набор бит, кейс 8020100584",10 мм,,,,,Max крутящий момент : 29 Нм,1 кг,,есть,,,20 мм,,,12 В,,,,,Li-Ion,,,,
1197,Аккумуляторная бесщеточная дрель-шуруповерт AYGER AP18BLM,30 мм,,45 Нм,,1,,,,есть,,,12 мм,,,18 В,,,,,Li-Ion,,,,
1198,Аккумуляторная дрель-шуруповерт FIT 80189,10 мм,,29 Нм,,,Двухскоростной редуктор – выбор скорости в зависимости от задачи,1.12 кг,,есть,,,28 мм,,,18 В,,,,,Li-Ion,,,,
1199,"Аккумуляторная бещеточная дрель-шуруповерт WORTEX LX BD 1220 DLi 12В, 30 Нм, 2*1.5 Ач, патрон 10 мм, 1333699",10 мм,,,,,Max крутящий момент : 30 Нм,0.67 кг,,есть,,,25 мм,,,12 В,,,,,Li-Ion,,,,
1200,"Бесщеточный ударный аккуммуляторный шуруповерт Интерскол ШАУ-250/36ВЭ Li-ion АПИ (кейс, 2 аккум. 2,0Ач, ЗУ) 862.2.2.70",,,,,,Max крутящий момент : 250 Нм,1.02 кг,,есть,,,,,,36 В,,,,,Li-Ion,,,,
1201,Электрическая дрель-шуруповерт EDON DS-450 19526,,,28 Нм,,4,,1.5 кг,,,,,,,600 Вт,,,нет,,,,,,,0-750 об/мин
1202,"Ударная дрель-шуруповерт KLPRO 18 В, без ЗУ и АКБ 11980 KLDM18-00",10 мм,,,,,Max крутящий момент : 40 Нм,2.7 кг,,нет,,13 мм,38 мм,,,18 В,,,,,Li-Ion,,,,
1203,Шуруповерт KEN BL6720D-40C 115.999.9403,,,,,,Max крутящий момент : 240 Нм,3.25 кг,,есть,,,,,,20 В,,,,,Li-Ion,,,,
1204,"Аккумуляторная дрель-шуруповерт AktiTool cd12g в кейсе, 12 В, 1 li-ion аккум. 1500 mah 101201",10 мм,,,,,Max крутящий момент : 28 Нм,1.6 кг,,есть,,,16 мм,,,12 В,,,,,Li-Ion,,,,
1205,Аккумуляторная дрель-шуруповерт WorkMaster АШ-20ЛБ,12 мм,,,,,Max крутящий момент : 30 Нм,2.9 кг,,есть,,,28 мм,,,20 В,,,,,Li-Ion,,,,
1206,Аккумуляторная дрель-шуруповерт ЕРМАК ДША-12В 646-322,,,19 Нм,,1,,0.96 кг,,есть,,,,,,12 В,,,,,Li-Ion,,,,
1207,Аккумуляторная ударная дрель-шуруповерт INGCO Li-Ion CIDLI12202,8 мм,,,,,Max крутящий момент : 20 Нм,1.9 кг,,нет,,8 мм,15 мм,8 мм,,12 В,,,,,Li-Ion,,,,
1208,"Дрель-шуруповерт GOODKING от аккумулятора, 12 В, 20 Нм, 1 АКБ EC-1201195",6 мм,,,,,Max крутящий момент : 20 Нм,3.75 кг,,есть,,,,,,12 В,,,,,Li-Ion,,,,
1209,Аккумуляторная дрель-шуруповерт WorkMaster АШ-14ЛА,10 мм,,26 Нм,,1,,,,есть,,,24 мм,,,14.4 В,,,,,Li-Ion,,,,
1210,Дрель-шуруповерт ударная аккумуляторная бесщеточная Кратон BICD18-90N-OFA (без АКБ и ЗУ) 3 11 01 103,13 мм,,,,,Max крутящий момент : 90 Нм,,,нет,,13 мм,35 мм,13 мм,,18 В,,,,,Li-Ion,,,,
1211,Дрель-шуруповёрт Edon DS-350 19525,10 мм,,23 Нм,,4,,1.3 кг,2 м,,,,25 мм,,400 Вт,,,нет,,,,,,,0-750 об/мин
1212,Электрический шуруповерт ДИОЛД ЭШ-0.45 10031100,10 мм,6 мм,22 Нм,,19,,1.2 кг,2 м,,,,25 мм,,450 Вт,,,нет,,,,,,,0-750 об/мин
1213,Аккумуляторная дрель-шуруповерт CROWN CT21076HMX,13 мм,,55 Нм,,,Поставляется без аккумулятора и зарядного устройства – вы не переплачиваете,1.18 кг,,нет,,,40 мм,,,20 В,,,,,Li-Ion,,,,
1214,Аккумуляторная дрель-шуруповерт WorkMaster АШ-24МС,10 мм,,,,,Max крутящий момент : 26 Нм,,,есть,,,28 мм,,,24 В,,,,,Li-Ion,,,,
1215,Аккумуляторный шуруповерт OASIS ASU-12V Pro 4640130907778,16 мм,,,,,Max крутящий момент : 40 Нм,1.6 кг,,есть,,10 мм,20 мм,,,12 В,,,,,Li-Ion,,,,
1216,Компактная аккумуляторная дрель-шуруповерт Villager VLN 3220-1BCB 056358,,,,,,Max крутящий момент : 35 Нм,,,есть,,,,,,18 В,,,,,Li-Ion,,,,
1217,"Дрель-шуруповерт Парма акк. дша-02-2016/2li 16в, 2 ач, 2 акк.,2 скор., подсв., индик., кейс 02.021.00015",10 мм,,,,,Max крутящий момент : 25 Нм,2.6 кг,,есть,,,22 мм,,,16 В,,,,,Li-Ion,,,,
1218,"Аккумуляторная дрель FORZA 2 АКБ Li обойма, 12В, 2А/ч, 2 ск., к-кт свёрел и бит, кейс FZD6663S",10 мм,,,,,Max крутящий момент : 25 Нм,0.8 кг,,есть,,,21 мм,,,12 В,,,,,Li-Ion,,,,
1219,Аккумуляторная дрель-шуруповерт ЕРМАК ДША 12 646-212,10 мм,,20 Нм,,4,,1.7 кг,,есть,,,20 мм,,,12 В,,,,,Ni-Cd,,,,
1220,Аккумуляторная бесщеточная дрель-шуруповерт Кратон OFA BCD18 без АКБ и ЗУ 3 11 01 073,13 мм,,50 Нм,,1,Поставляется без аккумулятора и зарядного устройства – вы не переплачиваете,1.54 кг,,нет,,,35 мм,,,18 В,,,,,Li-Ion,,,,
1221,Аккумуляторная дрель-шуруповерт REDVERG Basic SD14L/1 6628620,10 мм,,20 Нм,,10,,1.5 кг,,есть,,,20 мм,,,14.4 В,,,,,Li-Ion,,,,
1222,Аккумуляторный шуруповерт PROCRAFT Industrial РA 12 Li DFR PA12DFRIND,8 мм,,22 Нм,,1,,1.9 кг,,есть,,,14 мм,,,12 В,,,,,Li-Ion,,,,
1223,"Шуруповерт электрический PROCRAFT 1200 Вт, 25 Нм, 0-750 об/мин, DFR PB1200DFR",10 мм,,25 Нм,,,Мощность: 280 Вт,,,,,,16 мм,,,,,нет,,,,,,,0-750 об/мин
1224,Аккумуляторная дрель-шуруповерт Креост KE-213S-16,8 мм,,,,,Max крутящий момент : 22 Нм,,,есть,,,20 мм,,,16 В,,,,,Li-Ion,,,,
1225,Аккумуляторная дрель-шуруповерт Креост KE-503S-16,8 мм,,,,,Max крутящий момент : 22 Нм,,,есть,,,20 мм,,,16 В,,,,,Li-Ion,,,,
1226,Дрель-шуруповерт FTL PSR-G 12V 7030,10 мм,,20 Нм,,3,,,,есть,,,25 мм,,,12 В,,,,,Li-Ion,,,,
1227,Дрель-шуруповерт Калибр Мастер ДЭ- 550ШМ 00000045806,10 мм,,19 Нм,,106,Большие возможности в компактном исполнении – крутящий момент до 19 Нм,1.7 кг,2 м,,,,20 мм,,550 Вт,,,нет,,,,,,,0-750 об/мин
1228,Аккумуляторная дрель-шуруповерт Креост KE-201-12,8 мм,,,,,Max крутящий момент : 20 Нм,0.94 кг,,есть,,,25 мм,,,12 В,,,,,Li-Ion,,,,
1229,Аккумуляторная дрель-шуруповерт Dewalt DCD 805 P2T DCD805P2T-QW,13 мм,,90 Нм,,11,,1.34 кг,,есть,,13 мм,55 мм,,,18 В,,,,,Li-Ion,,,,
1230,Аккумуляторная дрель-шуруповерт Креост KE-501S-12,6 мм,,,,,Max крутящий момент : 20 Нм,,,есть,,,16 мм,,,12 В,,,,,Li-Ion,,,,
1231,Электрическая дрель-шуруповерт Сорокин 29.3,8 мм,8 мм,20 Нм,,2,,1.2 кг,1.5 м,,,,15 мм,,280 Вт,,,нет,,,,,,,0-750 об/мин
1232,"Аккумуляторная дрель-шуруповерт Калибр ДА-14,4-2А+ 00000071065",8 мм,,20 Нм,,50,"Полноценный комплект: два аккумулятора 2 Ач, зарядное устройство и кейс",2 кг,,есть,,,20 мм,,,14.4 В,,,,,Li-Ion,,,,
1233,Аккумуляторная дрель-шуруповерт Turbosky ДА-12/1.5 1 АКБ 454,12 мм,,32 Нм,,2,,1 кг,,есть,,,30 мм,,,12 В,,,,,Li-Ion,,,,
1234,"Аккумуляторная дрель-шуруповерт TDM ДША-12-Л1 Гранит, 12 В SQ1030-0201",10 мм,,22 Нм,,2,,1.05 кг,,есть,,,20 мм,,,12 В,,,,,Li-Ion,,,,
1235,Аккумуляторная дрель-шуруповерт ЭНЕРГОПРОМ ДА-12/2 00-00010874,6 мм,,20 Нм,,3,,1.8 кг,,есть,,,,,,12 В,,,,,Li-Ion,,,,
1236,"Ударный аккуммуляторный шуруповерт Интерскол ШАУ-100/12Э АПИ-Т (картон, без аккум. и ЗУ) 808.0.0.70",,,,,,Max крутящий момент : 100 Нм,1.02 кг,,нет,,,0 мм,,,12 В,,,,,Li-Ion,,,,
1237,Сетевая дрель-шуруповерт Кратон ESDD-280/24 2S 3 02 01 031,10 мм,,14 Нм,,1,,1.33 кг,5 м,,,10 мм,20 мм,,280 Вт,,,нет,,,,,,,0-400/0-1000 об/мин
1238,Аккумуляторная дрель-шуруповерт BRAIT BCD12PN 21.01.021.049,10 мм,,25 Нм,,3,,1.9 кг,,есть,,,10 мм,,,12 В,,,,,Li-Ion,,,,
1239,Сетевая дрель-шуруповёрт Alteco D 0328 D 300-10 MC 27459,8 мм,50 мм,32 Нм,,4,,1.6 кг,,,,20 мм,50 мм,,300 Вт,,,есть,,,,,,,0-450/0-1350 об/мин
1240,Аккумуляторная дрель-шуруповерт Калибр ДА-16/2 Li-Ion 00000076622,10 мм,,20 Нм,,2,,1.1 кг,,есть,,,26 мм,,,16 В,,,,,Li-Ion,,,,
1241,Аккумуляторная дрель-шуруповерт FIT 80179,8 мм,,15 Нм,,1,Подсветка рабочей зоны поможет в местах со слабой освещенностью,0.91 кг,,есть,,,20 мм,,,12 В,,,,,Li-Ion,,,,
1242,Ударная дрель-шуруповерт KLPRO 18 В/2.0 Ач 11981 KLDM18-20,10 мм,,40 Нм,,1,,3.9 кг,,есть,,13 мм,28 мм,,,18 В,,,,,Li-Ion,,,,
1243,Шуруповерт ЭНЕРГОПРОМ Home Master ДА-24/2 00-00014384,,,,,,Max крутящий момент : 40 Нм,1.2 кг,,есть,,,,,,24 В,,,,,Li-Ion,,,,
1244,Аккумуляторная дрель-шуруповерт ТРИГГЕР 20102 тов-181556,,,35 Нм,,1,,1.15 кг,,есть,,,,,,14.4 В,,,,,Li-Ion,,,,
1245,"Шуруповерт электрический PROCRAFT 960 Вт, 25 Нм, 0-720 об/мин PB960",10 мм,,22 Нм,,,Мощность: 280 Вт,,3 м,,,,16 мм,,,,,,,,,,,,0-800 об/мин
1246,Аккумуляторная дрель-шуруповерт Калибр ДА-12-2А+ 00000071064,8 мм,,15 Нм,,6,,1.9 кг,,есть,,,20 мм,,,12 В,,,,,Li-Ion,,,,
1247,Аккумуляторная дрель-шуруповерт BRAIT BCD18NQ 21.01.056.049,10 мм,,,,,Max крутящий момент : 30 Нм,2.45 кг,,есть,,,10 мм,,,18 В,,,,,Li-Ion,,,,
1248,Аккумуляторная дрель-шуруповерт ЭНЕРГОПРОМ ДА- 12/2Li 00-00010875,10 мм,,30 Нм,,7,,2 кг,,есть,,,20 мм,,,12 В,,,,,Li-Ion,,,,
1249,Аккумуляторная дрель-шуруповерт ЕРМАК ДША-14.4-2 646-324,,,,,,Max крутящий момент : 28 Нм,1.16 кг,,есть,,,,,,14.4 В,,,,,Li-Ion,,,,
1250,Аккумуляторная дрель-шуруповерт WorkMaster АШ-20ЛБУ,10 мм,,,,,Max крутящий момент : 38 Нм,2.9 кг,,есть,,,28 мм,,,20 В,,,,,Li-Ion,,,,
1251,"Аккумуляторный шуруповерт KLPRO 18 В / 2,0 Ач 11976 KLNM18-20",10 мм,,40 Нм,,1,,1.25 кг,,есть,,,30 мм,,,18 В,,,,,Li-Ion,,,,
1252,"Бесщеточная аккумуляторная дрель-шуруповерт Интерскол ДА-13/36В 90 Li-ion АПИ (картон, без аккум. и ЗУ) 861.0.0.70",13 мм,,90 Нм,,,Поставляется без аккумулятора и зарядного устройства — вы не переплачиваете,1.6 кг,,нет,,,38 мм,,,36 В,,,,,Li-Ion,,,,
1253,"Дрель-шуруповерт ЭНЕРГОПРОМ Home Master 1 акк, кейс, быстросъемный, 12В/2Ач ДА-10/12 00-00014379",,,30 Нм,,1,,,,есть,,,,,,12 В,,,,,Li-Ion,,,,
1254,Сетевой шуруповерт AYGER 1 шт AES700DFR,,10 мм,22 Нм,,,Мощность: 700 Вт,1.88 кг,2 м,,,,,,,,,нет,,,,,,,1800 об/мин
1255,Аккумуляторный шуруповерт KLECO 12 В / 1.3 Ач 12038 KE2213NM,,,,,,Max крутящий момент : 19 Нм,1.3 кг,,нет,,,,,,12 В,,,,,Li-Ion,,,,
1256,Электрическая дрель-шуруповерт EDON DS-550 22153,,,30 Нм,,4,,1.7 кг,,,,,,,750 Вт,,,,,,,,,,0-750 об/мин
1257,Аккумуляторный шуруповерт OASIS ASB-14A 4640130908058,16 мм,,40 Нм,,3,,1.6 кг,,есть,,,25 мм,,,14.4 В,,,,,Li-Ion,,,,
1258,"Дрель-шуруповерт GOODKING EC-1202195 128 предметов, от аккумулятора, 12 В, 20 Нм, 2 АКБ EC-1202128",,,,,,Max крутящий момент : 20 Нм,5.3 кг,,есть,,,6 мм,,,12 В,,,,,Li-Ion,,,,
1259,Аккумуляторная дрель-шуруповерт BRAIT BCD14.4N 21.01.023.049,10 мм,,,,,Max крутящий момент : 27 Нм,2.2 кг,,есть,,,10 мм,,,14.4 В,,,,,Li-Ion,,,,
1260,Дрель-шуруповерт аккумуляторная Eurolux ДА-12/2-1Li 72/14/68,10 мм,,25 Нм,,2,,0.96 кг,,есть,,,20 мм,,,12 В,,,,,Li-Ion,,,,
1261,Аккумуляторная дрель ударная бесщеточная РМТ BBID1250,12 мм,,,,,Max крутящий момент : 50 Нм,,,есть,,10 мм,24 мм,10 мм,,21 В,,,,,Li-Ion,,,,
1262,Сетевая дрель-шуруповерт Ставр ДШС-10/450-2С,12 мм,,24 Нм,,57,,1.5 кг,3 м,,,,29 мм,,450 Вт,,,нет,,,,,,,0-750/0-1200 об/мин
1263,Аккумуляторный шуруповерт PROCRAFT Industrial PA 12 Li PA12IND,8 мм,,,,,Max крутящий момент : 18 Нм,,,есть,,,14 мм,,,12 В,,,,,Li-Ion,,,,
1264,Аккумуляторная дрель-шуруповерт Креост KE-211S-12,6 мм,,,,,Max крутящий момент : 20 Нм,,,есть,,,16 мм,,,12 В,,,,,Li-Ion,,,,
1265,Сетевая дрель-шуруповёрт Alteco D 0327 D 300-10 27458,8 мм,10 мм,22 Нм,,,Мощность: 300 Вт,1.3 кг,,,,20 мм,50 мм,,,,,есть,,,,,,,0-750 об/мин
1266,Аккумуляторный шуруповерт OASIS ASD-20S 4640130907976,16 мм,,,,,Max крутящий момент : 40 Нм,1.2 кг,,есть,,,30 мм,,,21 В,,,,,Li-Ion,,,,
1267,Дрель-шуруповерт Сорокин с акб 2 Ач 29.132,10 мм,,,,,Max крутящий момент : 40 Нм,2.9 кг,,есть,,10 мм,18 мм,10 мм,,20 В,,,,,Li-Ion,,,,
1268,"Аккумуляторная ударная дрель-шуруповерт FTL PSR-XI 20V EVO, бесщеточный двигатель, 60 Нм, 20 В, клипса на ремень, боковая ручка, без АКБ, без ЗУ, цв. коробка 8050",,,60 Нм,,2,,1.91 кг,,нет,,,,,,20 В,,,,,Li-Ion,,,,
1269,Аккумуляторная дрель шуруповёрт ALTECO CD 1813 Li X2 62976,13 мм,,,,,Max крутящий момент : 45 Нм,2 кг,,есть,,,28 мм,,,18 В,,,,,Li-Ion,,,,
1270,"Аккумуляторная дрель-шуруповерт WORTEX BD 2025 DLi в чемодане, ALL1 XLT бесщеточная, 18 В, 50 Н*м, 2x1,5 А*ч, БЗП 10 м 1329836",10 мм,,,,,Max крутящий момент : 50 Нм,0.86 кг,,есть,,,35 мм,,,18 В,,,,,Li-Ion,,,,
1271,Ударная аккумуляторная дрель-шуруповерт KLECO 18 В / 2 Ач 12040 KE18DM-20DB,,,,,,Max крутящий момент : 30 Нм,2.2 кг,,есть,,,,,,18 В,,,,,Li-Ion,,,,
1272,Аккумуляторная дрель-шуруповерт WORTEX BD 1220-1 DLi BD12201DLi1029,10 мм,,40 Нм,,20,,1 кг,,есть,,,25 мм,,,12 В,,,,,Li-Ion,,,,
1273,Аккумуляторная дрель-шуруповерт MOLOT MBD 1213-1 Li MBD12131Li0029,10 мм,,20 Нм,,9,,0.8 кг,,есть,,,20 мм,,,12 В,,,,,Li-Ion,,,,
1274,"Аккумуляторная дрель-шуруповерт WORTEX BD 2025 DLi в чемодане, ALL1 XLT бесщеточная, 18 В, 50 Н*м, 1x1,5 А*ч, БЗП 10 м 1329835",10 мм,,,,,Max крутящий момент : 50 Нм,0.86 кг,,есть,,,35 мм,,,18 В,,,,,Li-Ion,,,,
1275,"Бесщеточная дрель-шуруповерт STEHER 20В, без АКБ CDB-200",10 мм,,45 Нм,,1,Поставляется без аккумулятора и зарядного устройства – вы не переплачиваете,0.9 кг,,нет,,,30 мм,,,20 В,,,,,Li-Ion,,,,
1276,Дрель-шуруповерт FTL PSR 14.4V 7032,10 мм,,26 Нм,,2,,,,есть,,,25 мм,,,14.4 В,,,,,Li-Ion,,,,
1277,Электрическая дрель-шуруповерт ЕРМАК ДШЭ-10/400 646-209,,,,,1,,1.25 кг,,,,,,,400 Вт,,,,,,,,,,0-750 об/мин
1278,Сетевая дрель-шуруповерт ТРИГГЕР 20401 тов-193812,,10 мм,32 Нм,,,Мощность: 300 Вт,1.55 кг,3 м,,,,,,,,,нет,,,,,,,0-1350 об/мин
1279,"Аккумуляторный ленточный шуруповерт DEWALT DCF620P2K, 18 В, 30 Нм, 4400 об/мин, с 2 АКБ 5 Ач и ЗУ, в кейсе TSTAK DCF620P2K-QW",,,30 Нм,,3,,1.08 кг,,есть,,,,,,18 В,,,,,Li-Ion,,,,
1280,Сетевая дрель-шуруповерт P.I.T. МАСТЕР PBM10-C1,10 мм,6 мм,25 Нм,,15,,1.2 кг,2 м,,,,25 мм,,400 Вт,,,нет,,,,,,,0-800 об/мин
1281,Аккумуляторный шуруповерт OASIS ASU-24S 4640039483274,12 мм,,45 Нм,,6,,1.9 кг,,есть,,10 мм,30 мм,,,24 В,,,,,Li-Ion,,,,
1282,"Аккумуляторная дрель-шуруповёрт Master ДА-14/2Li, 2 акк, кейс, 14В/2ач 00-00013623 00-00013623",10 мм,,,,,Max крутящий момент : 35 Нм,2.1 кг,,есть,,,26 мм,,,14 В,,,,,Li-Ion,,,,
1283,Аккумуляторная дрель-шуруповерт MOLOT MBD 1815 Li в чем. 1335504,,,,,,Max крутящий момент : 30 Нм,2.8 кг,,есть,,,,,,18 В,,,,,Li-Ion,,,,
1284,Аккумуляторная дрель-шуруповерт TORX CD-12TC 9310215,,,,,,Max крутящий момент : 25 Нм,0.9 кг,,есть,,,,,,12 В,,,,,Li-Ion,,,,
